127.0.0.1 - - [23/Jan/2022:21:23:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:23:15 +0900] "GET /BBS/ HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:23:15 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:23:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:23:16 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:23:16 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 200 350883
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:23:16 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:23:16 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 200 686565
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:23:16 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 200 421772
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:23:16 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:23:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:25:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:25:13 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:25:13 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:21:25:13 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
